Date,Policy,Introduced by,Category,Deemed_sig_by_tracker
6/23/2020,Guidance on shielding and protecting people who are clinically extremely vulnerable is updated to reflect relaxing of shielding measures and to set out a series of steps for further relaxing shielding guidance which will come into effect on 6 July and 1 August,Public Health England,Shielding measures,0
6/23/2020,Guidance published on opening certain businesses and venues in England from 4 July 2020,"Ministry of Housing, Communities & Local Government",Social distancing measures,0
6/23/2020,"Prime Minister announces at the daily breifing that step 3 of the government’s ‘plan to recover’ will be implemented ‘as planned’ on 4 July in England. Relaxing of measures announced include moving from two metre rule to 'one metre plus', the opening of more sectors (eg hotels, places of worship, restaurants), and two households will be able to meet at a time, including staying over and indoors",Prime Minister,Social distancing measures,1
6/24/2020,"Findings from the review of two metre social distancing guidance is published, concluding that guidance should change to state that ‘2m or 1m with risk mitigation (where 2m is not viable) are acceptable’",Cabinet Office,Social distancing measures,1
6/24/2020,Guidance on 'working safely during coronavirus' is updated for people who work in the visitor economy including to reflect the change to the two metre rule and add guidance on support bubbles ,"Department for Digital, Culture, Media & Sport and VisitBritain",Non-health and social care settings,0
6/24/2020,Guidance on 'working safely during coronavirus' is updated for people for people who work in close contact services including to reflect new guidance for keeping workers and clients safe,"Department for Business, Energy & Industrial Strategy and Department for Digital, Culture, Media & Sport",Non-health and social care settings,0
6/24/2020,"Guidance on 'working safely during coronavirus' is updated for people who work in or run restaurants, pubs, bars, cafes or takeaways including to reflect guidance on support bubbles, social
distancing, test and trace and feedback from industry","Department for Business, Energy & Industrial Strategy and Department for Digital, Culture, Media & Sport",Non-health and social care settings,0
6/24/2020,Staying safe outside your home guidance updated to reflect newly announced guidance including changes to two metre rule ,Cabinet Office,Social distancing measures,0
6/24/2020,Staying alert and safe (social distancing) guidance is updated with a new section to reflect new measures coming into effect from 4 July 2020,Cabinet Office,Social distancing measures,0
6/24/2020,Coronavirus outbreak FAQs: what you can and can’t do guidance is updated with a new section to reflect new measures coming into effect from 4 July 2020,Cabinet Office,Social distancing measures,0
6/25/2020,"10,000 residents and staff across over 100 care homes will be given COVID-19 tests as part of a new surveillance study to understand more about its spread in these settings",Department of Health and Social Care,"Testing, surveillance and contact tracing",1
6/26/2020,Health Secretary calls on country to get tested as access to COVID-19 testing is expanded even further with six new 'walk through' local testing sites in England,Department of Health and Social Care,"Testing, surveillance and contact tracing",0
6/26/2020,Guidance for food businesses is updated to include new section on prevention of infection and revised section on management of outbreaks including contact details for health protection teams,"Department for Environment, Food & Rural Affairs, Food Standards Agency, and Public Health England",Non-health and social care settings,0
6/26/2020,Guidance published for managing playgrounds and outdoor gyms to enable their use from 4 July ,"Ministry of Housing, Communities & Local Government",Social distancing measures,0
6/29/2020,Guidance published for small marriages and civil partnerships to prepare for small ceremonies to be allowed to restart from 4 July 2020,"Ministry of Housing, Communities & Local Government",Social distancing measures,0
6/29/2020,Guidance for the safe use of places of worship from 4 July,"Ministry of Housing, Communities & Local Government",Non-health and social care settings,0
6/29/2020,The first local lockdown is introduced in Leicester – includes local measures (eg non-essential retail and schools to close) and no easing of the national lockdown in Leicester,Matt Hancock,Social distancing measures,1
6/30/2020,Guidance published on areas of Leicestershire that are included in the localised coronavirus (COVID-19) lockdown and what this means,Department of Health and Social Care,Social distancing measures,0
6/30/2020,Guidance published for the safe use of council buildings,"Ministry of Housing, Communities & Local Government",Non-health and social care settings,0
6/30/2020,Government publishes weekly reports on PPE deliveries statistics (England) for the first time,Department of Health and Social Care,Infection prevention and control,0
6/30/2020,Guidance published for the safe use of multi-purpose community facilities such as community centres and village halls ,"Ministry of Housing, Communities & Local Government",Non-health and social care settings,0
7/2/2020,"Guidance published for parents and carers about early years providers, schools and colleges in the autumn term",Department for Education,Non-health and social care settings,0
7/2/2020,Businesses and organisations are told to collect contact details of their visitors as their venues reopen,Department of Health and Social Care,"Testing, surveillance and contact tracing",0
7/3/2020,Zero VAT rate on PPE is extended to the end of October,HM Treasury,Infection prevention and control,0
7/3/2020,Guidance published for higher education providers in England on when and how to reopen their campuses and buildings,Department for Education,Non-health and social care settings,0
7/3/2020,"Vivaldi 1: coronavirus (COVID-19) care homes study report is published, providing a summary of antigen testing in all care homes for those over 65 years old in England and survey results of managers of those homes",Department of Health and Social Care,"Testing, surveillance and contact tracing",1
7/3/2020,"The Foreign and Commonwealth Office updates its global advisory against ‘all but essential’ travel, exempting destinations that no longer pose an unacceptably high risk for British travellers",Foreign & Commonwealth Office,Travel measures,1
7/3/2020,Government publish guidance on travel corridors - the countries where you do not have to self-isolate on arrival in England if these are the only places you have been to or stopped in during the previous 14 days,Foreign & Commonwealth Office,Travel measures,1
7/3/2020,Staff and residents in care homes for over 65s and those with dementia will receive regular COVID-19 tests from next week as part of a new social care testing strategy,"Department of Health and Social Care, The Rt Hon Matt Hancock MP, and Helen Whately MP",Health and social care settings,1
7/3/2020,Guidance published on closing certain businesses and venues in Leicester from 4 July 2020,"Ministry of Housing, Communities & Local Government",Social distancing measures,0
7/4/2020,Local lockdown guidance for social distancing in Leicester ,Department of Health and Social Care,Social distancing measures,0
7/4/2020,Third step in easing national restrictions introduced,,Social distancing measures,1
7/4/2020,Guidance published to enable the safe reopening of places of worship from 4 July ,"Ministry of Housing, Communities & Local Government",Non-health and social care settings,0
7/6/2020,Government says the majority of children no longer need to shield after 1 August (advisory guidance for those shielding also changes on this date),,Shielding measures,0
7/10/2020,Travel corridor exemptions for some countries and territories come into effect in England,,Travel measures,0
7/11/2020,Outdoor performances with social distancing allowed to resume ,,Non-health and social care settings,0
7/11/2020,Outdoor pools allowed to reopen to the public ,,Non-health and social care settings,0
7/13/2020,"Businesses including beauty salons, nail bars and tattoo studios allowed to reopen",,Non-health and social care settings,0
7/14/2020,Matt Hancock makes a statement on COVID-19 – face coverings to be mandatory in shops and supermarkets from 24 July,,Infection prevention and control,0
7/17/2020,"Government publishes 'The next chapter in our plan to rebuild: The UK Government’s COVID-19 recovery strategy' - testing capacity to increase to half a million a day, changes to advice for employers about working from home",,Social distancing measures,1
7/17/2020,"National Framework published for local authorities and local decison-makers setting how to prevent, contain and manage COVID-19 local outbreaks",,Infection prevention and control,1
7/17/2020,Guidance published for local authorities on the new Health Protection Regulations that come into force on 18 July 2020,,Legal change,0
7/17/2020,Pilots announced for the return of audiences to indoor performance venues from 1 August and the return of spectators to elite sports events from 1 October ,,Non-health and social care settings,0
7/18/2020,Lockdown restrictions lifted in some areas of Leicestershire,,Social distancing measures,0
7/20/2020,Guidance for working in care homes and domiciliary care is updated to include recommendation for the use of face masks and coverings in social care settings,,Infection prevention and control,0
7/23/2020,"New regulations laid by government: members of the public will need to wear face coverings in shops, supermarkets, shopping centres and enclosed transport hubs from 24 July",,Legal change,0
7/24/2020,Face coverings become mandatory in shops and supermarkets (with exemptions),,Infection prevention and control,0
7/24/2020,Guidance for businesses on reporting outbreaks of COVID-19 is published ,,Infection prevention and control,0
7/25/2020,"Indoor gyms, pools and leisure centres allowed to reopen to the public",,Non-health and social care settings,0
7/30/2020,Self-isolation period is extended to 10 days for those with symptoms or a positive test result,,Social distancing measures,0
7/30/2020,Government confirms that health and care workers returning to England from high-risk countries will be required to self-isolate for 14 days,,Travel measures,0
7/30/2020,Government publishes NHS Test and Trace business plan and launches new campaign to encourage people to get a test,,"Testing, surveillance and contact tracing",0
7/31/2020,Prime Minister statement on COVID-19 – establishments due to reopen on 1 August will now remain closed until 15 August at the earliest,,Non-health and social care settings,0
8/1/2020,Guidance on going to work changes to give employers 'discretion'  about how staff can work safely,,Non-health and social care settings,0
8/1/2020,Shielding guidance for clinically extremely vulnerable paused across England,,Shielding measures,0
8/3/2020,Government announces roll out of two rapid tests for COVID-19,,"Testing, surveillance and contact tracing",0
8/8/2020,Requirement to wear a face mask extended to more indoor settings,,Infection prevention and control,0
8/10/2020,Government announces that NHS Test and Trace will provide local authorities with a dedicated team of contact tracers for local areas,,"Testing, surveillance and contact tracing",0
8/11/2020,New guidance published for supported living settings,,Health and social care settings,0
8/13/2020,New Test and Trace app begins trial phase,,"Testing, surveillance and contact tracing",0
8/13/2020,"Government announces stronger enforcement measures as easements resume, with a number of culture, sport, leisure and business establishments permitted to reopen from 15 August",,Social distancing measures,0
8/15/2020,"Next step in easing restrictions: a number of establishments within the culture, sport, leisure and business sectors are permitted to reopen",,Non-health and social care settings,0
8/21/2020,Public Health England publishes updated infection prevention and control guidance to support NHS organisations to further safely restart NHS services,,Health and social care settings,0
8/26/2020,Government publishes new guidance on the use of face coverings for schools and other education institutions,,Non-health and social care settings,0
9/3/2020,Government announces a new £500m funding package that will be invested in COVID-19 test trials using latest technology and increased testing capacity,,"Testing, surveillance and contact tracing",0
9/7/2020,The Transport Secretary announces the introduction of a more targeted approach to travel corridors by separating some islands from mainland countries,,Travel measures,0
9/9/2020,‘Hands. Face. Space’ public information campaign launched,,Informing the public,0
9/11/2020,Government announces that the NHS COVID-19 app will launch on 24 September in England and Wales – app includes QR check-in at venues,,Non-health and social care settings,0
9/14/2020,"New social distancing measures come into place, including the 'rule of 6'",,Social distancing measures,1
9/14/2020,"Guidance published on COVID-19 antibody home test kit – initially, home tests only available to care home workers and shortly after changed to include all social care workers",,"Testing, surveillance and contact tracing",0
9/20/2020,Government announces new legal requirements for self-isolation and measures to support and enforce this,,Social distancing measures,0
9/21/2020,Government publishes list of where COVID-19 tests are being prioritised,,"Testing, surveillance and contact tracing",0
9/21/2020,Childcare and unpaid care exempted from interhousehold mixing restrictions in local areas of intervention,,Social distancing measures,0
9/24/2020,"10pm closing time for pubs, restaurants and other businesses comes in, along with other new restrictions",,Social distancing measures,1
9/24/2020,NHS Test and Trace launches the NHS COVID-19 App to help identify contacts of people who test positive for COVID-19,,"Testing, surveillance and contact tracing",0
9/28/2020,"New restrictions come in: legal duty to self-isolate, fines of £10,000 for businesses subject to COVID-19 Secure requirements in law, increased restrictions on weddings and civil partnership ceremonies",,Infection prevention and control,1
9/28/2020,Government publishes a Personal Protective Equipment (PPE) Strategy setting out 'how government is preparing for a second wave of COVID-19',,Infection prevention and control,0
10/1/2020,Local authorities receive the first tranche of the second round of the Adult Social Care Infection Control Fund (announced in the Adult Social Care Winter Plan) - guidance sets out information on its distribution,,Infection prevention and control,0
10/8/2020,Further detail and guidance published on additional funding for enforcement and compliance activities – £60m 'surge funding' divided between the police and local councils ,,Social distancing measures,0
10/12/2020,Guidance published on 3 local COVID-19 alert levels that the government is introducing to ensure 'the right levels of intervention in the right places to manage outbreaks',,Social distancing measures,0
10/14/2020,Three tiered system of local COVID-19 Alert Levels introduced,,Social distancing measures,1
10/15/2020,Guidance updated on shielding and protecting people defined on medical grounds as clinically extremely vulnerable,,Social distancing measures,0
10/15/2020,"Guidance on visiting care homes during COVID-19 updated in line with the introduction of local alert levels, and to reference the Adult Social Care Winter Plan",,Health and social care settings,0
